7zip 24.09-3
python-pygdbmi 0.11.0.0-5
python-pygments 2.19.2-1
python-pyinotify 0.9.6-15
python-pylint 3.3.7-1
python-pylsqpack 0.3.18-3
python-pynacl 1.5.0-3
python-pynvim 0.5.2-1
python-pyopenssl 25.1.0-1
python-pyotherside 1.6.2-1
python-pyparsing 3.2.3-1
python-pyperclip 1.9.0-3
python-pyproject-api 1.9.1-1
python-pyproject-hooks 1.2.0-3
python-pypubsub 4.0.3-8
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt5-webengine 5.15.7-2
python-pyrogram 2.0.106-2
python-pyscard 2.0.10-2
python-pyserial 3.5-7
python-pysmbc 1.0.25.1-4
python-pysocks 1.7.1-10
python-pytest 1:8.4.1-1
python-pytz 2025.2-1
python-pyusb 1.3.1-1
python-pywebview 5.4-1
python-pywhat 5.1.0-4.2
python-pyxdg 0.28-4
python-pyyaml-env-tag 0.1-2
python-rapidfuzz 3.12.2-1
python-rapidjson 1.16-2
python-redis 6.2.0-1
python-referencing 0.35.1-3
python-regex 2024.11.6-2
python-requests 2.32.4-1
python-requests-toolbelt 1.0.0-3
python-rfc3339-validator 0.1.4-7
python-rich 14.0.0-1
python-roman-numerals-py 3.1.0-1
python-rpds-py 0.22.3-1
python-rsa 4.9-6
python-ruamel-yaml 0.18.10-1
python-ruamel.yaml.clib 0.2.12-3
python-scrypt 0.8.27-2
python-secretstorage 3.3.3-6
python-sentry_sdk 2.32.0-1
python-service-identity 24.2.0-2
python-setproctitle 1.3.5-1
python-setuptools 1:80.9.0-1
python-shellingham 1.5.4-3
python-six 1.17.0-1
python-sniffio 1.3.1-4
python-snowballstemmer 2.2.0-7
python-sortedcontainers 2.4.0-7
python-soupsieve 2.6-2
python-sphinx 8.2.3-1
python-sphinx-alabaster-theme 1.0.0-4
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-stack-data 0.6.3-4
python-starlette 0.47.1-1
python-telethon 1.40.0-1
python-tinycss2 1.4.0-2
python-tomli 2.0.1-5
python-tomlkit 0.13.3-1
python-tornado 6.4.2-1
python-tox 4.23.2-2
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-trove-classifiers 2025.5.9.12-1
python-typeguard 4.4.4-1
python-types-python-dateutil 2.9.0.20250708-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.14.1-1
python-typing_inspect 0.9.0-4
python-tzdata 2025.2-1
python-ujson 5.10.0-2
python-unidecode 1.3.8-4
python-uri-template 1.3.0-4
python-urllib3 2.5.0-1
python-urwid 3.0.2-1
python-uvloop 0.21.0-2
python-virtualenv 20.28.0-1
python-wand 0.6.11-5
python-watchdog 6.0.0-1
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-websockets 15.0.1-1
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-wsproto 1.2.0-6
python-wxpython 1:4.2.3-1
python-xcffib 1.5.0-2
python-yaml 6.0.2-2
python-yarl 1.21.1-1
python-yubico 1.3.3-7
python-zipp 3.21.0-2
python-zstandard 0.23.0-2
qalculate-qt 5.6.0-1
qbittorrent-enhanced 5.1.2.10-1
qbittorrent-vuetorrent-bin 2.25.0-1
qca-qt5 2.3.10-2
qca-qt6 2.3.10-2
qcoro 0.12.0-1
qemu-audio-alsa 10.0.2-1
qemu-audio-dbus 10.0.2-1
qemu-audio-jack 10.0.2-1
qemu-audio-oss 10.0.2-1
qemu-audio-pa 10.0.2-1
qemu-audio-pipewire 10.0.2-1
qemu-audio-sdl 10.0.2-1
qemu-audio-spice 10.0.2-1
qemu-base 10.0.2-1
qemu-block-curl 10.0.2-1
qemu-block-dmg 10.0.2-1
qemu-block-gluster 10.0.2-1
qemu-block-iscsi 10.0.2-1
qemu-block-nfs 10.0.2-1
qemu-block-ssh 10.0.2-1
qemu-chardev-baum 10.0.2-1
qemu-chardev-spice 10.0.2-1
qemu-common 10.0.2-1
qemu-desktop 10.0.2-1
qemu-hw-display-qxl 10.0.2-1
qemu-hw-display-virtio-gpu 10.0.2-1
qemu-hw-display-virtio-gpu-gl 10.0.2-1
qemu-hw-display-virtio-gpu-pci 10.0.2-1
qemu-hw-display-virtio-gpu-pci-gl 10.0.2-1
qemu-hw-display-virtio-gpu-pci-rutabaga 10.0.2-1
qemu-hw-display-virtio-gpu-rutabaga 10.0.2-1
qemu-hw-display-virtio-vga 10.0.2-1
qemu-hw-display-virtio-vga-gl 10.0.2-1
qemu-hw-display-virtio-vga-rutabaga 10.0.2-1
qemu-hw-s390x-virtio-gpu-ccw 10.0.2-1
qemu-hw-uefi-vars 10.0.2-1
qemu-hw-usb-host 10.0.2-1
qemu-hw-usb-redirect 10.0.2-1
qemu-hw-usb-smartcard 10.0.2-1
qemu-img 10.0.2-1
qemu-pr-helper 10.0.2-1
qemu-system-x86 10.0.2-1
qemu-system-x86-firmware 10.0.2-1
qemu-tests 10.0.2-1
qemu-tools 10.0.2-1
qemu-ui-curses 10.0.2-1
qemu-ui-dbus 10.0.2-1
qemu-ui-egl-headless 10.0.2-1
qemu-ui-gtk 10.0.2-1
qemu-ui-opengl 10.0.2-1
qemu-ui-sdl 10.0.2-1
qemu-ui-spice-app 10.0.2-1
qemu-ui-spice-core 10.0.2-1
qemu-user-static 10.0.2-1
qemu-vhost-user-gpu 10.0.2-1
qgpgme 2.0.0-1
qhull 2020.2-5
qpdf 12.2.0-1
qqc2-breeze-style 6.4.2-1
qqc2-desktop-style 6.16.0-1
qrencode 4.1.1-4
qsstv 9.5.8-3
qt5-3d 5.15.17-2
qt5-base 5.15.17+kde+r123-1
qt5-connectivity 5.15.17+kde+r2-1
qt5-declarative 5.15.17+kde+r21-1
qt5-gamepad 5.15.17-1
qt5-graphicaleffects 5.15.17-1
qt5-location 5.15.17+kde+r7-1
qt5-lottie 5.15.16-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-purchasing 5.15.15-2
qt5-quick3d 5.15.17+kde+r1-2
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-quicktimeline 5.15.15-2
qt5-remoteobjects 5.15.17-1
qt5-script 5.15.19-2
qt5-scxml 5.15.17-1
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-virtualkeyboard 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-2
qt5-webglplugin 5.15.15-2
qt5-websockets 5.15.17+kde+r2-1
qt5-x11extras 5.15.17-1
qt5-xmlpatterns 5.15.17-1
qt6-3d 6.9.1-2
qt6-5compat 6.9.1-1
qt6-base 6.9.1-4
qt6-charts 6.9.1-1
qt6-connectivity 6.9.1-1
qt6-datavis3d 6.9.1-1
qt6-declarative 6.9.1-1
qt6-graphs 6.9.1-1
qt6-grpc 6.9.1-2
qt6-httpserver 6.9.1-1
qt6-imageformats 6.9.1-1
qt6-languageserver 6.9.1-1
qt6-location 6.9.1-1
qt6-lottie 6.9.1-1
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-networkauth 6.9.1-1
qt6-positioning 6.9.1-1
qt6-quick3d 6.9.1-2
qt6-quick3dphysics 6.9.1-1
qt6-quickeffectmaker 6.9.1-1
qt6-quicktimeline 6.9.1-1
qt6-remoteobjects 6.9.1-1
qt6-scxml 6.9.1-1
qt6-sensors 6.9.1-1
qt6-serialbus 6.9.1-1
qt6-serialport 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-speech 6.9.1-1
qt6-svg 6.9.1-1
qt6-tools 6.9.1-2
qt6-translations 6.9.1-1
qt6-virtualkeyboard 6.9.1-1
qt6-wayland 6.9.1-1
qt6-webchannel 6.9.1-1
qt6-webengine 6.9.1-1
qt6-websockets 6.9.1-1
qt6-webview 6.9.1-1
qtkeychain-qt6 0.15.0-3
qtractor 1.5.6-2
quazip-qt5 1.5-1
quazip-qt6 1.5-1
quota-tools 1:4.10-1
radvd 2.20-1
ragel 6.10-4
railwayapp-cli 4.0.0-1
ranger 1.9.4-4
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
rclone 1.70.3-1
rclone-browser 1.8.0-3
rdma-core 58.0-1
re2 1:20240702-5
readline 8.3.0-3
redis 8.0.3-1
redland 1:1.0.17-9
reiserfsprogs 3.6.27-5
remmina 1:1.4.40-1
repo 2.54-1
revda-git 5.6.0.r0.g7e83cdf-1
rhash 1.4.4-1
rime-bopomofo 0.0.0.20210131-2
rime-cangjie 0.0.0.20240325-1
rime-essay 0.0.0.20241230-1
rime-ice-pinyin-git r799.7acdee6-1
rime-luna-pinyin 0.0.0.20240525-1
rime-prelude 0.0.0.20230922-1
rime-stroke 0.0.0.20250118-1
rime-terra-pinyin 0.0.0.20241225-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rlwrap 0.46.2-1
rnnoise 1:0.2-1
roc-toolkit 0.4.0-1
rpcbind 1.2.7-2
rsync 3.4.1-2
rtkit 0.13-3
rtl-sdr 1:2.0.2-1
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
run-parts 5.23.1-1
runc 1.3.0-1
rust-bindgen 0.72.0-1
rustdesk-bin 1.4.0-2
rustup 1.28.2-3
rutabaga-ffi 0.1.6-2
samba 2:4.22.3-1
sbc 2.0-2
sbctl 0.17-1
sbkeys 1.1.0-2
sbsigntools 0.9.5-3
scdoc 1.11.3-1
scour 0.38.2-5
scrcpy 3.3.1-1
screen 5.0.1-3
screenkey 1.5-5
scrub 2.6.1-1
scx-scheds 1.0.14-1
sddm 0.21.0-6
sddm-kcm 6.4.2-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.56-2
sdl2_image 2.8.8-1
sdl2_mixer 2.8.1-2
sdl2_ttf 2.24.0-1
sdl3 3.2.16-1
sdl_image 1.2.12-9
sdl_mixer 1.2.12-12
sdl_net 1.2.8-6
sdl_sound 1.0.3-13
sdl_ttf 2.0.11-7
seabios 1.17.0-1
seahorse 1:47.0.1-3
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
sequoia-octopus-librnp 1.11.1-1
serd 0.32.4-1
serf 1.3.10-2
sgml-common 0.6.3-9
shaderc 2025.2-2
shadow 4.18.0-1
shared-mime-info 2.4-2
shim-signed 15.8+ubuntu+1.58-1
signon-kwallet-extension 25.04.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simplescreenrecorder 0.4.4-5
sing-box 1.11.15-1
sing-geoip-db 20250712-1
sing-geosite-db 20250627153051-1
skim 0.20.1-1
slang 2.3.3-3
smartmontools 7.5-1
smbclient 2:4.22.3-1
snapper 0.12.2-4
snappy 1.2.2-2
sndio 1.10.0-1
snes9x 1.63-1
socat 1.8.0.3-1
solid 6.16.0-1
sonnet 6.16.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-15
sox 14.4.2+r184+gf3094754-7
spandsp 0.0.6-5
spectacle 1:6.4.2-2
speech-dispatcher 0.12.1-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-1
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-tools 1:1.4.313.0-1
sqlite 3.50.2-1
squashfs-tools 4.7-1
sratom 0.6.18-1
srt 1.5.4-1
sscg 3.0.7-1
sshfs 3.7.3-3
sssd 2.11.0-1
starship 1.23.0-1
startup-notification 0.12-8
steam 1.0.0.82-2
steam-native-runtime 1.0.0.75-4
stella 7.0-1
stk 5.0.1-3
stoken 0.92-5
strace 6.15-1
stripe-cli 1.28.0-1
subversion 1.14.5-3
sudo 1.9.17.p1-1
suil 0.10.20-1
suitesparse 7.10.3-1
svgpart 25.04.3-1
svt-av1 3.0.2-1
svt-hevc 1.5.1-3
swtpm 0.10.1-1
syncthing 1.30.0-1
syncthing-gtk 0.9.4.5-4
syndication 6.16.0-1
syntax-highlighting 6.16.0-1
sysstat 12.7.7-1
system-config-printer 1.5.18-5
systemd 257.7-1
systemd-libs 257.7-1
systemd-sysvcompat 257.7-1
systemsettings 6.4.2-1
systray-x-kde 0.9.11-3
taglib 2.1.1-1
tailscale 1.84.0-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tcping-go 2.7.1-1
tdb 1.4.13-1
teamspeak3 3.6.2-5
telegram-desktop 5.16.3-1
tevent 1:0.16.2-1
texinfo 7.2-1
texlive-basic 2025.2-1
texlive-bin 2025.2-1
texlive-latex 2025.2-1
texlive-latexextra 2025.2-1
texlive-latexrecommended 2025.2-1
texlive-pictures 2025.2-1
thin-provisioning-tools 1.2.0-1
threadweaver 6.16.0-1
thunderbird 140.0-1
thunderbird-i18n-zh-cn 140.0-1
thunderbird-ublock-origin 1.65.0-1
tigervnc 1.15.0-1
timeshift 24.06.6-1
tinysparql 3.9.2-2
tinyxml2 11.0.0-1
tk 8.6.16-1
tmux 3.5_a-1
toilet 0.3.r155.3eb9d58-3
tomlplusplus 3.4.0-1
tor 0.4.8.17-1
tor-browser-bin 14.5.4-1
torsocks 2.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
translate-shell 0.9.7.1-2
transmission-cli 4.0.6-10
trash-cli 0.24.5.26-2
trayscale 0.18.0-1
tre 0.9.0-1
tree 2.2.1-1
tree-sitter 0.25.7-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-firacode-nerd 3.4.0-1
ttf-hack 3.003-7
ttf-harmonyos-sans 2025.06.21-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-material-design-icons-git v7.0.96.r0.g6b7bfd3-1
ttf-misans 4.003-2
ttf-misans-arabic 4.003-2
ttf-misans-devanagari 4.003-2
ttf-misans-gujarati 4.003-2
ttf-misans-gurmukhi 4.003-2
ttf-misans-khmer 4.003-2
ttf-misans-l3 4.003-2
ttf-misans-lao 4.003-2
ttf-misans-latin 4.003-2
ttf-misans-myanmar 4.003-2
ttf-misans-tc 4.003-2
ttf-misans-thai 4.003-2
ttf-misans-tibetan 4.003-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-roboto 3.011-1
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-ubuntu-nerd 3.4.0-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udftools 2.3-2
udisks2 2.10.1-6
udisks2-btrfs 2.10.1-6
ueberzug 18.3.1-4
unace 2.5-11
unarchiver 1.10.8-5
unbound 1.23.0-2
unibilium 2.1.2-1
unixodbc 2.3.12-3
unrar 1:7.1.8-1
unzip 6.0-22
upower 1.90.9-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 018-1
uthash 2.3.0-2
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
uudeck 2025.4.12.0001-2
uv 0.7.20-1
v2ray-domain-list-community 20250627153051-1
v2ray-geoip 202507050144-1
v4l-utils 1.30.1-1
v4l2loopback-dkms 0.15.0-1
v4l2loopback-utils 0.15.0-1
vamp-plugin-sdk 2.10.0-3
vapoursynth R70-2
vcdimager 2.0.1-7
vde2 2.3.3-6
vdpauinfo 1.5-2
ventoy-bin 1.1.05-1
verdict 1.4.2-1
vid.stab 1.1.1-2
viddy-git 1.3.0.r5.gad1f0fe-1
vim 9.1.1497-1
vim-plug 0.14.0-1
vim-runtime 9.1.1497-1
virglrenderer 1.1.1-1
virt-install 5.0.0-1
virt-manager 5.0.0-1
virtio-win 0.1.271.1-1
virtiofsd 1.13.2-1
virtualbox 7.1.10-1
virtualbox-guest-iso 7.1.10-1
virtualbox-host-dkms 7.1.10-1
visual-studio-code-insiders-bin 1752211200-1
vkbasalt 0.3.2.10-1
vkd3d 1.16-1
vlc 3.0.21-26
vlc-cli 3.0.21-26
vlc-gui-qt 3.0.21-26
vlc-materia-skin-git r10.eeaa6af-1
vlc-plugin-a52dec 3.0.21-26
vlc-plugin-alsa 3.0.21-26
vlc-plugin-dav1d 3.0.21-26
vlc-plugin-dbus 3.0.21-26
vlc-plugin-dbus-screensaver 3.0.21-26
vlc-plugin-faad2 3.0.21-26
vlc-plugin-ffmpeg 3.0.21-26
vlc-plugin-flac 3.0.21-26
vlc-plugin-gnutls 3.0.21-26
vlc-plugin-inflate 3.0.21-26
vlc-plugin-journal 3.0.21-26
vlc-plugin-jpeg 3.0.21-26
vlc-plugin-lua 3.0.21-26
vlc-plugin-mpg123 3.0.21-26
vlc-plugin-opus 3.0.21-26
vlc-plugin-png 3.0.21-26
vlc-plugin-pulse 3.0.21-26
vlc-plugin-shout 3.0.21-26
vlc-plugin-speex 3.0.21-26
vlc-plugin-tag 3.0.21-26
vlc-plugin-theora 3.0.21-26
vlc-plugin-twolame 3.0.21-26
vlc-plugin-vorbis 3.0.21-26
vlc-plugin-vpx 3.0.21-26
vlc-plugin-xml 3.0.21-26
vlc-plugins-base 3.0.21-26
vlc-plugins-video-output 3.0.21-26
vmaf 3.0.0-1
vnstat 2.13-1
volume_key 0.3.12-11
vpl-gpu-rt 25.2.5-1
vpnc 1:0.5.3.r539.r239-1
vte-common 0.80.3-1
vte3 0.80.3-1
vtk 9.5.0-2
vulkan-icd-loader 1.4.313.0-1
vulkan-mesa-layers 1:25.1.5-1
vulkan-tools 1.4.313.0-1
vulkan-virtio 1:25.1.5-1
w3m 0.5.3.git20230713_1-1
wasm-bindgen 0.2.100-1
wasm-pack 0.13.1-1
wavpack 5.8.1-1
waydroid 1.5.4-1
waydroid-image-gapps 20_20250503-1
wayland 1.23.1-2
wayland-utils 1.2.0-2
waylyrics 0.3.21-2
webkit2gtk 2.48.3-1
webkit2gtk-4.1 2.48.3-1
webkitgtk-6.0 2.48.3-1
webrtc-audio-processing-1 1.3-5
weston 14.0.2-1
wgcf 2.2.22-1
wget 1.25.0-2
which 2.23-1
whois 5.6.1-1
wildmidi 0.4.6-1
win2xcur 0.1.2-1
wine-gecko 2.47.4-2
wine-mono 10.1.0-1
wine-staging 10.12-1
winetricks 20250102-1
wireguard-tools 1.0.20250521-1
wireless-regdb 2025.02.20-1
wireplumber 0.5.10-1
wireproxy 1.0.10-1
wireshark-cli 4.4.7-1
wireshark-qt 4.4.7-1
wl-clipboard 1:2.2.1-3
wmctrl 1.07-6
woff-misans 4.003-2
woff-misans-arabic 4.003-2
woff-misans-devanagari 4.003-2
woff-misans-gujarati 4.003-2
woff-misans-gurmukhi 4.003-2
woff-misans-khmer 4.003-2
woff-misans-l3 4.003-2
woff-misans-lao 4.003-2
woff-misans-latin 4.003-2
woff-misans-myanmar 4.003-2
woff-misans-tc 4.003-2
woff-misans-thai 4.003-2
woff-misans-tibetan 4.003-2
woff2 1.0.2-6
woff2-misans 4.003-2
woff2-misans-arabic 4.003-2
woff2-misans-devanagari 4.003-2
woff2-misans-gujarati 4.003-2
woff2-misans-gurmukhi 4.003-2
woff2-misans-khmer 4.003-2
woff2-misans-l3 4.003-2
woff2-misans-lao 4.003-2
woff2-misans-latin 4.003-2
woff2-misans-myanmar 4.003-2
woff2-misans-tc 4.003-2
woff2-misans-thai 4.003-2
woff2-misans-tibetan 4.003-2
wolfssl 5.8.0-1
worker-build 0.1.2-1
workerd 1.20250701.0-1
wpa_supplicant 2:2.11-3
wrangler 4.23.0-1
wtf 20230906-1
wxwidgets-common 3.2.8.1-2
wxwidgets-gtk3 3.2.8.1-2
x11-ssh-askpass 1.2.4.1-8
x264 3:0.164.r3108.31e19f9-2
x265 4.1-1
xapian-core 1:1.4.29-1
xapp 2.8.9-1
xcaddy-bin 0.4.4-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xdelta3 3.1.0-5
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-kde 6.4.2-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-synaptics 1.10.0-1
xf86-input-void 1.4.2-2
xkeyboard-config 2.45-1
xmlsec 1.3.7-2
xorg-bdftopcf 1.1.2-1
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-devel 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xnest 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-twm 1.0.13.1-1
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xclock 1.1.1-2
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.3.4-2
xorg-xev 1.2.6-1
xorg-xeyes 1.3.0-2
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.8-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xournalpp 1.2.7-1
xsel 1.2.1-2
xsettingsd 1.0.2-3
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yakuake 25.04.3-1
yaml-cpp 0.8.0-2
yarn 1.22.22-2
yasm 1.3.0-8
yazi 25.5.31-1
yelp 42.3-1
yelp-xsl 42.4-1
yt-dlp 2025.06.30-1
yubico-c 1.13-7
yubico-c-client 2.15-6
yubico-pam 2.27-3
yubico-piv-tool 2.7.1-1
yubikey-agent 0.1.6-1
yubikey-full-disk-encryption r155.dcaac00-2
yubikey-manager 1:5.7.2-1
yubikey-manager-qt 1.2.5-2
yubikey-personalization 1.20.0-4
yubikey-personalization-gui 3.1.25-3
yubioath-desktop 7.2.3-1
yukigram-desktop 5.16.3.r22006.7da667b7a8-1
yyjson 0.11.1-1
zarchive 0.1.2-5
zbar 0.23.93-4
zed 0.194.3-1
zenity 4.1.90-1
zeromq 4.3.5-2
zerotier-gui-git 1.4.0.r88.6be475e-1
zerotier-one 1.14.2-5
zimg 3.0.5-1
zip 3.0-11
zita-convolver 4.0.3-4
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zoxide 0.9.8-2
zsh 5.9-5
zsh-completions 0.35.0-2
zsnes 2.0.12-2
zstd 1.5.7-2
zulu-11-bin 11.0.25-1
zulu-17-bin 17.0.15-1
zulu-jdk-fx-bin 21.0.4-1
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
